timestamp,spy_price,btc_price,gld_price,bnd_price
2019-09-12,301.250000,10570.71825641108,141.320007,83.779999
2019-09-13,301.779999,10572.910768764827,140.149994,83.300003
2019-09-16,299.839996,10553.870489963218,141.320007,83.519997
2019-09-17,299.940002,10589.495162147077,141.600006,83.709999
2019-09-18,300.489990,10293.534714644422,140.710007,83.769997
2019-09-19,301.529999,10150.803813351415,141.279999,83.889999
2019-09-20,300.359985,10056.271326102174,142.949997,84.190002
2019-09-23,297.549988,10279.537426321938,143.750000,84.250000
2019-09-24,299.410004,10298.790618593212,144.509995,84.540001
2019-09-25,295.959991,10220.60625053516,141.830002,84.139999
2019-09-26,297.630005,10220.630824493683,141.789993,84.279999
2019-09-27,297.829987,10187.331381397742,141.059998,84.370003
2019-09-30,295.970001,9957.603990660908,138.869995,84.430000
2019-10-01,297.739990,10170.14938714451,139.630005,84.330002
2019-10-02,291.500000,9829.19038794188,141.259995,84.519997
2019-10-03,287.809998,8905.717171124053,141.899994,84.800003
2019-10-04,291.140015,8448.581428873547,141.899994,84.940002
2019-10-07,293.470001,8090.756760992949,140.690002,84.720001
2019-10-08,291.040009,8056.555744043442,141.919998,84.760002
2019-10-09,290.750000,8074.66487388019,142.050003,84.660004
2019-10-10,291.179993,8373.691399292007,140.809998,84.400002
2019-10-11,296.269989,8261.483681877877,140.029999,84.089996
2019-10-14,295.929993,8215.765685662782,140.589996,84.230003
2019-10-15,297.100006,8146.960117078203,139.610001,84.010002
2019-10-16,298.369995,8093.726412374464,140.410004,84.099998
2019-10-17,299.679993,8206.990546310008,140.610001,84.099998
2019-10-18,298.690002,8447.405230063596,140.460007,84.139999
2019-10-21,299.420013,8556.399843556846,139.789993,83.940002
2019-10-22,300.579987,8454.189643236208,140.199997,84.089996
2019-10-23,298.730011,8309.508612786785,140.529999,84.129997
2019-10-24,300.910004,8223.860211681333,141.529999,84.139999
2019-10-25,299.739990,7993.777211948269,141.860001,84.000000
2019-10-28,302.940002,8043.1835075725285,140.639999,83.820000
2019-10-29,303.000000,7941.370743792027,140.250000,83.839996
2019-10-30,303.429993,8225.997999767185,141.020004,84.110001
2019-10-31,304.130005,8180.554316458057,142.429993,84.510002
2019-11-01,304.920013,7625.9810733366985,142.559998,84.250000
2019-11-04,307.850006,7449.344896475132,142.149994,84.010002
2019-11-05,307.589996,8264.143232919452,139.850006,83.720001
2019-11-06,307.029999,9505.160560930975,140.449997,83.900002
2019-11-07,308.570007,9364.772980142709,138.270004,83.470001
2019-11-08,307.799988,9168.647592885985,137.389999,83.389999
2019-11-11,307.420013,9184.808517309499,137.059998,83.440002
2019-11-12,308.750000,9163.062695161356,137.429993,83.489998
2019-11-13,307.910004,9355.815560171495,137.979996,83.639999
2019-11-14,308.790009,9333.715233680303,138.559998,83.879997
2019-11-15,311.019989,9334.164049068493,138.210007,83.849998
2019-11-18,311.529999,9219.843990102052,138.619995,83.970001
2019-11-19,312.679993,8891.882165179233,138.690002,84.059998
2019-11-20,311.279999,8765.330104940625,138.759995,84.290001
2019-11-21,310.890015,8721.961483146215,138.000000,84.150002
2019-11-22,311.089996,8748.49485660394,137.740005,84.199997
2019-11-25,311.980011,8650.065933514075,137.080002,84.279999
2019-11-26,313.410004,8517.113330746839,137.740005,84.419998
2019-11-27,314.609985,8284.916101843397,137.009995,84.290001
2019-11-29,314.859985,8097.776858217162,137.860001,84.290001
2019-12-02,314.589996,8101.442183224056,137.789993,83.889999
2019-12-03,308.649994,7706.115068376536,139.110001,84.339996
2019-12-04,310.700012,7209.737222292516,138.919998,84.169998
2019-12-05,312.230011,6949.007500279464,139.000000,84.080002
2019-12-06,314.119995,7146.219139268543,137.619995,83.970001
2019-12-09,314.440002,7336.45034872365,137.580002,83.989998
2019-12-10,313.820007,7533.431205062532,137.970001,83.930000
2019-12-11,314.029999,7646.530628455274,138.919998,84.209999
2019-12-12,314.429993,7301.702772289667,138.429993,83.809998
2019-12-13,316.869995,7328.018515492943,139.050003,84.190002
2019-12-16,319.220001,7340.815382151012,139.039993,83.959999
2019-12-17,319.920013,7333.767080713306,139.009995,83.970001
2019-12-18,320.000000,7437.842392434312,139.020004,83.860001
2019-12-19,319.799988,7464.995018169559,139.380005,83.919998
2019-12-20,320.459991,7282.685566480982,139.520004,83.940002
2019-12-23,321.589996,7199.476963919305,139.949997,83.699997
2019-12-24,321.470001,7184.147784090714,141.270004,83.779999
2019-12-26,321.649994,7232.331190835981,142.380005,83.860001
2019-12-27,323.739990,6959.683483380698,142.330002,83.980003
2019-12-30,322.950012,6723.10453565484,142.630005,83.949997
2019-12-31,320.529999,6868.644959268183,142.899994,83.860001
2020-01-02,323.540009,7165.775313801035,143.949997,83.970001
2020-01-03,321.160004,7153.269710725435,145.860001,84.269997
2020-01-06,320.489990,7509.586879643376,147.389999,84.169998
2020-01-07,323.019989,7288.57617122661,147.970001,84.099998
2020-01-08,322.940002,7196.3584061657975,146.860001,83.970001
2020-01-09,326.160004,7250.865773264582,146.029999,84.070000
2020-01-10,327.290009,7181.25129279322,146.910004,84.209999
2020-01-13,326.390015,7282.770791212858,145.820007,84.160004
2020-01-14,327.470001,7187.361541589315,145.690002,84.279999
2020-01-15,327.350006,7195.887552923154,146.539993,84.410004
2020-01-16,329.700012,7020.696074792658,146.309998,84.360001
2020-01-17,331.700012,7228.561362500887,146.580002,84.349998
2020-01-21,330.899994,7570.072434987675,146.740005,84.559998
2020-01-22,332.239990,7967.052478938378,146.789993,84.629997
2020-01-23,330.630005,8209.009255816507,147.119995,84.779999
2020-01-24,332.440002,7890.037309764535,147.979996,84.910004
2020-01-27,323.029999,7937.250943540824,148.990005,85.190002
2020-01-28,325.059998,8102.024772071141,147.660004,85.040001
2020-01-29,328.380005,8586.28829543681,148.460007,85.279999
2020-01-30,324.359985,8758.376852476791,148.470001,85.300003
2020-01-31,327.000000,8674.885519535845,149.330002,85.519997
2020-02-03,323.350006,8873.683319460975,148.360001,85.260002
2020-02-04,328.070007,8637.66946796189,146.429993,85.000000
2020-02-05,332.269989,8633.532434659752,146.610001,84.860001
2020-02-06,333.910004,8661.311057383085,147.399994,84.940002
2020-02-07,332.820007,8415.750416741608,147.789993,85.199997
2020-02-10,331.230011,8388.424487837141,148.169998,85.330002
2020-02-11,336.160004,8777.697801943705,147.660004,85.190002
2020-02-12,336.829987,9086.203826806355,147.539993,85.089996
2020-02-13,335.859985,9334.554529383486,148.380005,85.169998
2020-02-14,337.510010,9386.751982406717,149.000000,85.260002
2020-02-18,336.510010,9326.526823784756,150.910004,85.389999
2020-02-19,337.790009,9351.52744460314,151.789993,85.379997
2020-02-20,337.739990,9192.382961487814,152.410004,85.589996
2020-02-21,335.470001,9518.782434748173,154.699997,85.800003
2020-02-24,323.140015,9703.274740364437,156.089996,86.070000
2020-02-25,323.940002,9781.037833643262,153.300003,86.139999
2020-02-26,314.179993,9930.724391338554,153.970001,86.089996
