Date,Open,High,Low,Close,Adj Close,Volume,timestamp,open,high,low,close,volume,price,count,instrument,exchange,class,pair
2019-06-27,291.309998,292.059998,290.890015,291.500000,282.521790,40355200,2020-10-25,13126.34,13361.0,12890.76,13045.0,8669.819606060306,13072.908405248529,79151.0,cbse/btc-usd,cbse,spot,btc-usd
2019-06-28,292.579987,293.549988,292.010010,293.000000,283.975586,59350900,2020-10-24,12938.0,13175.0,12884.31,13126.24,7776.65754823015,13055.995147304824,77869.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-01,296.679993,296.920013,294.329987,295.660004,286.553680,78705600,2020-10-23,12988.2,13037.0,12722.72,12937.09,10373.803097480572,12914.728574207336,91261.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-02,295.609985,296.489990,294.679993,296.429993,287.299988,61504500,2020-10-22,12808.01,13200.0,12698.02,12987.02,20056.190505170493,12948.056296841858,131970.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-03,297.179993,298.820007,297.019989,298.799988,289.596954,40898900,2020-10-21,11923.07,13250.04,11900.01,12808.01,30579.41708220802,12619.25842717814,171129.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-05,297.440002,298.640015,296.010010,298.459991,289.267426,51677300,2020-10-20,11760.45,12050.0,11685.0,11923.83,13318.630571080508,11878.942877214151,90456.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-08,297.010010,298.260010,296.220001,296.820007,287.677979,45841800,2020-10-19,11514.2,11833.0,11416.04,11760.45,9987.063999630116,11648.308497292031,81453.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-09,295.540009,297.519989,295.480011,297.190002,288.036530,41101300,2020-10-18,11367.9,11523.0,11350.37,11514.2,4234.983511410173,11438.032189541293,60112.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-10,298.369995,299.660004,297.779999,298.609985,289.412811,58448500,2020-10-17,11328.27,11421.0,11264.75,11367.89,3586.1455215001315,11341.684716218335,57889.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-11,299.320007,299.579987,298.200012,299.309998,290.091217,50826100,2020-10-16,11509.31,11550.01,11201.0,11328.95,9301.486114100035,11344.408144633324,85445.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-12,299.850006,300.730011,299.510010,300.649994,291.389984,40326000,2020-10-15,11427.7,11641.38,11263.15,11509.34,8188.323151660437,11429.817306746438,83749.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-15,301.130005,301.130005,300.190002,300.750000,291.486847,33900000,2020-10-14,11428.22,11556.37,11290.83,11427.7,6988.655360110374,11401.811924286509,74087.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-16,300.649994,300.880005,299.440002,299.779999,290.546814,36650100,2020-10-13,11535.46,11561.45,11312.59,11428.22,8504.887051640273,11437.639709432851,74157.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-17,299.750000,299.929993,297.739990,297.739990,288.569580,36036300,2020-10-12,11374.01,11736.02,11187.6,11535.46,10445.324662900835,11491.051846950602,81705.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-18,297.190002,299.250000,296.700012,298.829987,289.626038,51392600,2020-10-11,11299.52,11444.25,11276.28,11374.01,5122.748237230107,11361.93549529479,65695.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-19,300.040009,300.070007,296.980011,297.170013,288.017151,58678600,2020-10-10,11057.07,11498.98,11055.75,11299.5,8903.346481420249,11348.262341233089,82748.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-22,297.609985,298.500000,297.040009,297.899994,288.724640,43638100,2020-10-09,10932.44,11111.11,10834.49,11057.07,9775.028529211155,11016.145308166986,92536.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-23,299.140015,300.029999,298.220001,300.029999,290.789093,44564500,2020-10-08,10670.47,10963.16,10532.11,10933.09,11211.983206200512,10810.683556431413,82757.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-24,299.190002,301.440002,299.089996,301.440002,292.155640,47213200,2020-10-07,10601.2,10683.75,10546.78,10670.47,6108.042551090183,10621.299326695022,66693.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-25,300.940002,301.000000,299.109985,300.000000,290.760010,55394100,2020-10-06,10796.97,10800.0,10524.0,10600.94,7564.005260340143,10657.951413215505,74254.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-26,300.760010,302.230011,300.619995,302.010010,292.708038,45084100,2020-10-05,10670.01,10800.0,10621.12,10795.71,5932.27134829998,10712.923929984136,64095.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-29,301.880005,302.010010,300.850006,301.459991,292.174988,38126500,2020-10-04,10550.32,10697.0,10521.87,10671.11,3544.489508080076,10616.704004728512,61607.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-30,299.910004,301.170013,299.489990,300.720001,291.457825,45849000,2020-10-03,10573.12,10606.36,10498.02,10551.65,3208.5011079399683,10554.230522812342,60201.0,cbse/btc-usd,cbse,spot,btc-usd
2019-07-31,300.989990,301.200012,295.200012,297.429993,288.269165,104245200,2020-10-02,10616.35,10668.56,10363.76,10573.12,10167.970683990701,10513.358316072174,87030.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-01,297.600006,300.869995,293.959991,294.839996,285.758942,142646600,2020-10-01,10779.63,10931.98,10427.75,10617.31,12628.177756060782,10671.550037091143,100141.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-02,293.850006,294.119995,290.899994,292.619995,283.607330,116749700,2020-09-30,10839.98,10847.0,10657.04,10779.63,6313.208018070136,10739.756919640564,66280.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-05,288.089996,288.209991,281.720001,283.820007,275.078369,178745400,2020-09-29,10694.9,10860.79,10636.13,10840.73,8142.1062709100715,10729.258929275245,70332.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-06,285.910004,288.040009,284.279999,287.799988,278.935760,120711700,2020-09-28,10779.0,10956.11,10621.22,10695.55,8371.528496630057,10865.007680932205,72235.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-07,284.399994,288.820007,282.040009,287.970001,279.100555,140572300,2020-09-27,10730.0,10806.32,10595.24,10778.2,3847.874327490042,10720.824821425851,55931.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-08,289.619995,293.619995,289.010010,293.619995,284.576477,87713900,2020-09-26,10690.53,10828.0,10654.58,10730.0,3591.7720864100065,10720.318371661997,60208.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-09,292.579987,293.239990,289.649994,291.619995,282.638062,93730000,2020-09-25,10740.0,10765.07,10551.0,10690.53,9683.885205250099,10666.414112492133,84347.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-12,289.959991,291.609985,287.019989,288.070007,279.197479,65527600,2020-09-24,10237.41,10795.87,10192.56,10740.01,9546.961427950366,10510.640301516381,79027.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-13,287.739990,294.149994,287.359985,292.549988,283.539398,94299800,2020-09-23,10531.13,10541.25,10135.22,10235.1,8771.752660430058,10376.82642174651,77504.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-14,288.070007,288.739990,283.760010,283.899994,275.155853,135622100,2020-09-22,10416.83,10576.82,10355.0,10531.13,7883.602462300026,10467.0508989743,69577.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-15,284.880005,285.640015,282.390015,284.649994,275.882782,99556600,2020-09-21,10920.94,10994.0,10180.0,10416.82,14133.15754501186,10569.858620341496,105346.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-16,286.480011,289.329987,284.709991,288.850006,279.953400,83018300,2020-09-20,11081.09,11081.37,10759.37,10920.89,5885.550320870047,10899.78791378277,71303.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-19,292.190002,293.079987,291.440002,292.329987,283.326233,53571800,2020-09-19,10937.5,11179.9,10891.78,11080.0,5582.528862040174,11039.476298614494,70276.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-20,291.769989,292.359985,289.950012,290.089996,281.155212,51596400,2020-09-18,10943.99,11039.88,10813.0,10937.52,8442.486665419989,10915.768636695082,88233.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-21,292.480011,292.859985,291.720001,292.450012,283.442535,49524700,2020-09-17,10957.06,11044.0,10735.55,10943.61,8869.36710501021,10882.012538290288,79408.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-22,293.230011,293.929993,290.399994,292.359985,283.355286,51666400,2020-09-16,10783.36,11099.95,10662.02,10956.33,10952.032093010484,10931.808221656449,88461.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-23,290.920013,292.760010,283.470001,284.850006,276.076599,149161500,2020-09-15,10678.41,10950.0,10613.18,10783.75,12485.00931181066,10789.020776670544,94641.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-26,287.269989,288.000000,285.579987,288.000000,279.129608,72423800,2020-09-14,10336.76,10760.62,10253.0,10679.95,13334.74381403093,10549.163476197911,90745.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-27,289.540009,289.950012,286.029999,286.869995,278.034424,66668900,2020-09-13,10446.52,10582.36,10211.0,10336.76,10241.146758860305,10355.712847001503,75499.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-28,286.140015,289.070007,285.250000,288.890015,279.992218,59696700,2020-09-12,10394.41,10483.23,10276.19,10446.52,6494.828548270035,10378.122966518018,71838.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-29,291.720001,293.160004,290.609985,292.579987,283.568512,57899400,2020-09-11,10344.24,10411.44,10200.0,10394.41,7187.457130259965,10305.274535595461,78240.0,cbse/btc-usd,cbse,spot,btc-usd
2019-08-30,294.220001,294.239990,291.420013,292.450012,283.442535,62901200,2020-09-10,10224.56,10489.0,10216.41,10343.23,11199.574158330035,10348.536250923971,95015.0,cbse/btc-usd,cbse,spot,btc-usd
2019-09-03,290.570007,291.579987,289.269989,290.739990,281.785187,69101400,2020-09-09,10126.41,10349.99,9983.34,10224.56,9586.944513950168,10206.975165431762,86833.0,cbse/btc-usd,cbse,spot,btc-usd
2019-09-04,293.140015,294.059998,292.309998,294.040009,284.983582,46887300,2020-09-08,10375.0,10440.91,9819.83,10125.69,15430.305481881363,10086.284320195906,108121.0,cbse/btc-usd,cbse,spot,btc-usd
2019-09-05,296.790009,298.829987,294.000000,297.820007,288.647125,83258100,2020-09-07,10258.67,10410.9,9880.0,10375.0,11816.607555410794,10136.254884706252,94199.0,cbse/btc-usd,cbse,spot,btc-usd
2019-09-06,298.170013,298.760010,297.420013,298.049988,288.870087,49584300,2020-09-06,10169.58,10358.88,10000.0,10257.86,9385.672300290265,10201.547809785932,86310.0,cbse/btc-usd,cbse,spot,btc-usd
2019-09-09,299.140015,299.239990,297.160004,298.200012,289.015411,51260300,2020-09-05,10482.07,10564.8,9831.32,10168.36,21795.748918141846,10161.528120903842,141507.0,cbse/btc-usd,cbse,spot,btc-usd
2019-09-10,297.359985,298.200012,295.970001,298.130005,288.947571,57947100,2020-09-04,10172.13,10638.34,9900.0,10477.13,22464.510106912952,10355.015020707737,166580.0,cbse/btc-usd,cbse,spot,btc-usd
2019-09-11,298.470001,300.339996,297.750000,300.250000,291.002289,68821100,2020-09-03,11395.49,11474.99,10005.0,10172.52,27163.571363752042,10791.962384264001,189560.0,cbse/btc-usd,cbse,spot,btc-usd
2019-09-12,301.250000,302.459991,300.410004,301.290009,292.010284,72908700,2020-09-02,11924.22,11950.0,11160.0,11395.48,18795.877563002123,11481.434522707197,142519.0,cbse/btc-usd,cbse,spot,btc-usd
2019-09-13,301.779999,302.170013,300.679993,301.089996,291.816437,62104800,2020-09-01,11655.0,12086.0,11525.09,11924.22,15686.368072923186,11894.59529969454,128603.0,cbse/btc-usd,cbse,spot,btc-usd
2019-09-16,299.839996,301.140015,299.450012,300.160004,290.915070,58191200,2020-08-31,11716.0,11784.66,11576.0,11655.0,9056.550305680328,11695.324094117206,81604.0,cbse/btc-usd,cbse,spot,btc-usd
2019-09-17,299.940002,301.019989,299.750000,300.920013,291.651672,41475500,2020-08-30,11474.3,11720.0,11463.87,11716.01,5496.1009732702,11621.247640499321,66941.0,cbse/btc-usd,cbse,spot,btc-usd
2019-09-18,300.489990,301.220001,298.239990,301.100006,291.826111,73375800,2020-08-29,11535.0,11580.0,11422.21,11474.31,5375.411754470152,11506.709450592245,68551.0,cbse/btc-usd,cbse,spot,btc-usd
2019-09-19,301.529999,302.630005,300.709991,301.079987,291.806702,76560500,2020-08-28,11330.56,11550.51,11282.09,11535.0,10223.033894800708,11450.998774966043,96242.0,cbse/btc-usd,cbse,spot,btc-usd
2019-09-20,300.359985,300.670013,297.410004,298.279999,290.428009,89565000,2020-08-27,11463.27,11597.92,11125.0,11330.06,13337.609741200951,11334.267817591232,99515.0,cbse/btc-usd,cbse,spot,btc-usd
2019-09-23,297.549988,299.000000,297.269989,298.209991,290.359833,43476800,2020-08-26,11324.92,11539.99,11254.89,11463.27,9110.990298750354,11415.85341311244,79774.0,cbse/btc-usd,cbse,spot,btc-usd
2019-09-24,299.410004,299.839996,294.809998,295.869995,288.081482,94869400,2020-08-25,11753.26,11769.76,11102.73,11324.92,13982.488774050995,11410.971369536466,110446.0,cbse/btc-usd,cbse,spot,btc-usd
2019-09-25,295.959991,298.109985,294.329987,297.619995,289.785370,71854000,2020-08-24,11650.01,11823.62,11592.91,11753.85,7251.053070190176,11741.286701889976,72333.0,cbse/btc-usd,cbse,spot,btc-usd
2019-09-26,297.630005,297.859985,295.450012,297.000000,289.181702,56179700,2020-08-23,11672.92,11715.0,11525.62,11650.01,5495.142014260296,11634.422783719974,73116.0,cbse/btc-usd,cbse,spot,btc-usd
2019-09-27,297.829987,297.950012,293.690002,295.399994,287.623810,84746600,2020-08-22,11529.99,11693.16,11370.0,11672.93,7777.385206070231,11528.535978939171,91002.0,cbse/btc-usd,cbse,spot,btc-usd
2019-09-30,295.970001,297.549988,295.920013,296.769989,288.957764,51662400,2020-08-21,11864.26,11884.99,11480.0,11529.22,14526.80736666104,11713.738179486034,127476.0,cbse/btc-usd,cbse,spot,btc-usd
2019-10-01,297.739990,298.459991,293.000000,293.239990,285.520630,88242400,2020-08-20,11758.87,11892.16,11671.48,11864.26,8795.570389910274,11813.014521924533,95057.0,cbse/btc-usd,cbse,spot,btc-usd
2019-10-02,291.500000,291.510010,286.640015,288.059998,280.477051,122539500,2020-08-19,11954.22,12024.83,11569.0,11758.87,16091.594662031213,11782.229565726322,145357.0,cbse/btc-usd,cbse,spot,btc-usd
2019-10-03,287.809998,290.450012,284.820007,290.420013,282.774933,85278800,2020-08-18,12303.98,12400.0,11825.0,11951.01,18038.48443321134,12106.948296442937,129949.0,cbse/btc-usd,cbse,spot,btc-usd
